date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:11	12453/12453	---M-Z	200	added ('OK')	application/javascript	etag:W/%2212453-1615540096000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/touch/touchswipe.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=primefaces&v=10.0.0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/touch/touchswipe.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203ced1.node0	(from https://www.primefaces.org/poseidon/)
00:49:11	51043/51043	---MCZ	200	added ('OK')	text/css	etag:W/%2251043-1618391444000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/css/primeflex.min.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=poseidon-layout	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/css/primeflex.min.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039faa.css	(from https://www.primefaces.org/poseidon/)
00:49:12	12274/12274	---MCZ	200	added ('OK')	text/css	etag:W/%2212149-1618391444000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/css/primeicons.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=poseidon-layout	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/css/primeicons.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039faa.css	(from https://www.primefaces.org/poseidon/)
00:49:12	23245/23245	---MCZ	200	added ('OK')	text/css	etag:W/%2223245-1618391444000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/css/demo-light.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=demo	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/css/demo-light.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039b08.css	(from https://www.primefaces.org/poseidon/)
00:49:13	29451/29451	---M-Z	200	added ('OK')	application/javascript	etag:W/%2229451-1618391444000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/js/layout.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=poseidon-layout	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/js/layout.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039faa.node0	(from https://www.primefaces.org/poseidon/)
00:49:13	144254/144254	---MCZ	200	added ('OK')	text/css	etag:W/%22143479-1618391444000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/css/layout-light.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=poseidon-layout	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/css/layout-light.css.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039faa.css	(from https://www.primefaces.org/poseidon/)
00:49:14	25557/25557	---M-Z	200	added ('OK')	application/javascript	etag:W/%2225557-1618391444000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/js/prism.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=poseidon-layout	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/js/prism.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039faa.node0	(from https://www.primefaces.org/poseidon/)
00:49:15	159647/159647	---M-Z	200	added ('OK')	application/javascript	etag:W/%22159647-1618391444000-gzip%22	https://www.primefaces.org/poseidon/javax.faces.resource/js/chart.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=demo	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/js/chart.js.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039b08.node0	(from https://www.primefaces.org/poseidon/)
00:49:15	130648/130648	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:49:14%20GMT	https://www.primefaces.org/poseidon/dashboard.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/dashboard.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.html	(from https://www.primefaces.org/poseidon/)
00:49:15	2868/2868	---MC-	200	added ('OK')	image/png	etag:W/%222868-1618391444000%22	https://www.primefaces.org/poseidon/javax.faces.resource/images/logo-poseidon.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=poseidon-layout	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/images/logo-poseidon.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039faa.png	(from https://www.primefaces.org/poseidon/)
00:49:16	2992/2992	---MC-	200	added ('OK')	image/png	etag:W/%222992-1618391444000%22	https://www.primefaces.org/poseidon/javax.faces.resource/images/dashboard/leader-1.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=demo	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/images/dashboard/leader-1.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039b08.png	(from https://www.primefaces.org/poseidon/)
00:49:16	2923/2923	---MC-	200	added ('OK')	image/png	etag:W/%222923-1618391444000%22	https://www.primefaces.org/poseidon/javax.faces.resource/images/dashboard/leader-2.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=demo	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/images/dashboard/leader-2.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039b08.png	(from https://www.primefaces.org/poseidon/)
00:49:16	3114/3114	---MC-	200	added ('OK')	image/png	etag:W/%223114-1618391444000%22	https://www.primefaces.org/poseidon/javax.faces.resource/images/dashboard/leader-3.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=demo	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/images/dashboard/leader-3.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039b08.png	(from https://www.primefaces.org/poseidon/)
00:49:17	2773/2773	---MC-	200	added ('OK')	image/png	etag:W/%222773-1618391444000%22	https://www.primefaces.org/poseidon/javax.faces.resource/images/dashboard/leader-4.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=demo	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/images/dashboard/leader-4.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039b08.png	(from https://www.primefaces.org/poseidon/)
00:49:17	2736/2736	---MC-	200	added ('OK')	image/png	etag:W/%222736-1618391444000%22	https://www.primefaces.org/poseidon/javax.faces.resource/images/avatar-profile.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0?ln=poseidon-layout	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/javax.faces.resource/images/avatar-profile.png.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b210422039faa.png	(from https://www.primefaces.org/poseidon/)
00:49:18	78853/78853	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:49:16%20GMT	https://www.primefaces.org/poseidon/formlayout.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/formlayout.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.html	(from https://www.primefaces.org/poseidon/)
00:49:19	94486/94486	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:49:17%20GMT	https://www.primefaces.org/poseidon/input.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/input.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.html	(from https://www.primefaces.org/poseidon/)
00:49:20	76405/76405	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:49:18%20GMT	https://www.primefaces.org/poseidon/floatlabel.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/floatlabel.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.html	(from https://www.primefaces.org/poseidon/)
00:49:20	79431/79431	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:49:19%20GMT	https://www.primefaces.org/poseidon/invalidstate.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/invalidstate.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.html	(from https://www.primefaces.org/poseidon/)
00:49:22	119569/119569	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:49:19%20GMT	https://www.primefaces.org/poseidon/button.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/button.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.html	(from https://www.primefaces.org/poseidon/)
00:49:23	232384/232384	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:49:20%20GMT	https://www.primefaces.org/poseidon/table.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/table.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.html	(from https://www.primefaces.org/poseidon/)
00:49:25	108029/108029	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:49:21%20GMT	https://www.primefaces.org/poseidon/list.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/list.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.html	(from https://www.primefaces.org/poseidon/)
00:49:25	97497/97497	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:49:23%20GMT	https://www.primefaces.org/poseidon/tree.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/tree.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.html	(from https://www.primefaces.org/poseidon/)
00:49:26	97090/97090	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2005:49:24%20GMT	https://www.primefaces.org/poseidon/panel.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.node0	D:/Proyectos/JAVA/DEMOPLANTILLA/POSEIDON_PLANTI/www.primefaces.org/poseidon/panel.xhtml;jsessionid=node01m2zevqt1qflfu4yhsdcf78b21042203.html	(from https://www.primefaces.org/poseidon/)
